car_name;reviews_count;fuel_type;engine_displacement;no_cylinder;seating_capacity;transmission_type;fuel_tank_capacity;body_type;rating;starting_price;ending_price;max_torque_nm;max_torque_rpm;max_power_bhp;max_power_rp;churn
Land Rover Range Rover Velar;35;Petrol;1997;4;5;Automatic;82;SUV;4.5;8941000;8,941,000;365;4000;246.74;5500;True
Toyota Vellfire;13;Petrol;2494;4;7;Automatic;58;MUV;4.5;9260000;9,260,000;198;4000;115.32;4700;True
BMW X5;28;Petrol;2998;6;5;Automatic;0;SUV;4.5;7990000;9,590,000;450;5200;335.26;6500;True
Volvo XC90;35;Petrol;1969;4;7;Automatic;68;Hybrid;4.5;9390000;9,665,000;640;1740;400;0;True
Audi RS Q8;9;Petrol;3998;8;5;Automatic;85;SUV;3.5;21700000;21,700,000;800;4500;591.39;6000;False
BMW X6;4;Petrol;2998;6;5;Automatic;83;Luxury;4.5;10400000;10,400,000;450;5200;335.25;6500;True
Mercedes-Benz AMG C 43;1;Petrol;2996;6;5;Automatic;0;Coupe;4.5;11100000;11,100,000;520;5000;384.87;6100;True
BMW iX;3;Electric;0;0;5;Electric;0;SUV;4.5;11600000;11,600,000;630;0;321.84;0;True
Audi e-tron;7;Electric;0;0;5;Electric;0;Coupe;4.5;10100000;11,900,000;664;0;300;0;True
Hyundai Xcent Prime;8;CNG;1197;4;5;Manual;65;Sedan;4.5;12000000;12,400,000;97.96;4200;65.39;5600;True
Strom Motors R3;2;Electric;0;0;2;Electric;0;Hatchback;3.5;21600000;22,000,000;90;0;20.11;0;False
Mercedes-Benz GLE;2;Diesel;2925;6;5;Automatic;93;SUV;4.5;14400000;14,400,000;700;4000;325.8;4200;True
Mercedes-Benz V-Class;8;Diesel;2143;4;7;Automatic;57;MUV;4.5;7110000;14,600,000;380;2400;161;3800;True
Porsche Macan;9;Petrol;2894;6;5;Automatic;65;SUV;4.5;8321000;14,700,000;550;5600;434.49;6600;True
Jaguar F-TYPE;4;Petrol;5000;8;2;Automatic;70;Coupe;4.5;9813000;15,300,000;580;500;443.8;6000;True
Jaguar F-Pace;5;Petrol;4999;8;5;Automatic;82;SUV;4.5;7488000;15,600,000;700;5000;543.11;6500;True
Maserati GranCabrio;2;Diesel;4691;8;4;Automatic;75;Convertible;4;15900000;15,900,000;520;0;460;0;True
Tata Nexon EV Max;1;Electric;0;0;5;Electric;0;SUV;5;463,000;583,000;250;0;141.04;0;True
Mercedes-Benz S-Class;12;Petrol;2999;6;5;Automatic;0;Sedan;4.5;16000000;16,900,000;500;4500;362.07;6100;True
Mercedes-Benz G-Class;12;Diesel;2925;6;5;Automatic;100;SUV;4.5;17200000;17,200,000;600;3200;281.61;4600;True
BMW 7 Series;16;Petrol;2998;6;4;Automatic;46;Sedan;4.5;14200000;17,600,000;450;5000;281.6;6000;True
BMW X7;15;Diesel;2993;6;7;Automatic;80;SUV;4.5;11800000;17,800,000;760;3000;394.26;4400;True
